Numero,Link
10729, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/bolsa-tote-grande-couro-laura-argila-real/p/5001203620002U
10730, https://www.arezzo.com.br/c/sapatos/sapatos/tenis/bolsa-tote-grande-couro-laura-preta/p/5001203620003U
10731, https://www.arezzo.com.br/c/sapatos/sapatos/sapatilhas/bolsa-tote-grande-couro-laura-mostard/p/5001203620005U
10732, https://www.arezzo.com.br/c/sapatos/sapatos/sapatilhas/bolsa-tote-media-couro-laura-mostard/p/5001203630002U
10733, https://www.arezzo.com.br/c/sapatos/sapatos/mules/bolsa-tote-media-couro-laura-mostard/p/5001203630003U
10734, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/sandalia-nobuck-salto-medio-fino-lace-up-new-salmon/p/0269503030089U
10735, https://www.arezzo.com.br/c/sapatos/sapatos/rasteiras/sapatilha-rafia-cap-toe-tiny-bow-preta/p/0459902510096U
10736, https://www.arezzo.com.br/c/sapatos/sapatos/tenis/espadrille-tecido-couro-amarracao-salto-alto-preta/p/0455000110007U
10737, https://www.arezzo.com.br/c/sapatos/sapatos/sapatilhas/sapatilha-cap-toe-palha-lacinho-preta-e-natural/p/0376243390237U
10738, https://www.arezzo.com.br/c/sapatos/sapatos/sapatilhas/sapatilha-cap-toe-palha-lacinho-malagueta-e-natural/p/0376243390239U
10739, https://www.arezzo.com.br/c/sapatos/sapatos/scarpins/scarpin-viper-skin-peep-toe-salto-medio-porcelana/p/0453501650005U
10740, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/sandalia-plataforma-nobuck-peep-toe-tranca-pantano/p/0452655660056U
10721, https://www.arezzo.com.br/c/sapatos/sapatos/mules/scarpin-nobuck-curvas-salto-kitten-bicolor-gergelim-e-new-salmon/p/1068802850001U
10722, https://www.arezzo.com.br/c/sapatos/sapatos/mules/bolsa-hobo-larissa-grande-preta/p/5810003160010U
10723, https://www.arezzo.com.br/c/sapatos/sapatos/chinelos/mule-matte-phyton-salto-alto-preta/p/1127700110001U
